ESNTL_ID,FCLTY_NM,LCLAS_NM,MLSFC_NM,ZIP_NO,FCLTY_ROAD_NM_ADDR,FCLTY_LA,FCLTY_LO,WORKDAY_OPN_BSNS_TIME,WORKDAY_CLOS_TIME,SAT_OPN_BSNS_TIME,SAT_CLOS_TIME,SUN_OPN_BSNS_TIME,SUN_CLOS_TIME,RSTDE_OPN_BSNS_TIME,RSTDE_CLOS_TIME,RSTDE_GUID_CN,TEL_NO,OPTN_DC,ADIT_DC
KCIBSPO22N000000212,북메리카노,독립서점,일반,54594,"전북 익산시 익산대로16길 36 2층,3층",35.9397279,126.9512554,13:00,22:00,13:00,22:00,13:00,22:00,,,"월,화,수,목 휴무",050713164564,"나, 심리, 그림을 주제로 독립출판물을 판매,인상담, 타로상담 ,취미, 원데이클래스(캔들, 방향제),독서모임, 교육 등을 예약제로 진행",독립출판물 있음
KCIBSPO22N000000213,7월의 서재,독립서점,일반,54593,전라북도 익산시 중앙로1길 6-2 2층,35.94010864,126.9485713,10:00,19:00,,,,,,,,01082972504,독립출판물을 다루는 동네 책방,"카페 있음, 독립출판물 있음"
KCIBSPO22N000000214,두번째집,독립서점,북카페,54604,전라북도 익산시 평동로11길 12 남부시장 내 두 번째 집,35.93194536,126.9533796,10:00,17:00,13:00,19:00,,,,,수요일 10:00~16:00,050713452086,"책을 중심으로 이야기하고 가치를 공유, 커피도 판매,  그림책, 강연, 특별수업 등 비정기적으로 진행","카페 있음, 독립출판물 있음"
KCIBSPO22N000000215,잘익은언어들,독립서점,일반,54830,전라북도 전주시 덕진구 두간11길 15,35.86405079,127.1150511,13:00,18:00,13:00,18:00,13:00,18:00,,,,01030006959,"책방지기가 프리랜서로 일하고 있어서,가끔 행사시에 저녁이나 주말에 오픈, 동네 작은 책방","주차 가능, 헌책방 있음, 리뷰 있음"
KCIBSPO22N000000216,소소당,독립서점,일반,54836,전라북도 전주시 덕진구 솔내7길 17-10 소소당,35.8603778,127.1232096,10:00,20:00,10:00,20:00,10:00,20:00,,,명절휴무,050713406267,홀린듯 발길이 머무는곳~소소당 전주송천동에 자리한 골목안 동네책방,"독립출판물 있음, 독서모임 가능, 강연 가능"
KCIBSPO22N000000217,살림책방,독립서점,일반,54887,전라북도 전주시 덕진구 하가3길 20-9,35.84760041,127.1131234,12:00,18:00,12:00,18:00,12:00,18:00,,,화요일 휴무,01033651221,"인문, 사회, 철학, 예술 등 다양한 도서들과 그림책을 판매, 문구 및 소품도 판매","독서모임 가능, 헌책방 있음"
KCIBSPO22N000000218,물결서사,독립서점,일반,55005,전라북도 전주시 완산구 물왕멀2길 9-6,35.82643591,127.1470906,13:00,19:00,13:00,19:00,,,,,"일요일, 월요일 휴무",01074730296,작은 독립책방,"주차 가능, 화장실 남녀 구분, 카페 있음, 공간대여 가능, 독립출판물 있음"
KCIBSPO22N000000219,에이커북스토어,독립서점,일반,55038,전라북도 전주시 완산구 전라감영4길 1 4층,35.81566861,127.14488,13:00,19:00,13:00,19:00,13:00,19:00,,,월요일휴무,050713213574,독립출판물을 다루는 작은 책방,"주차 가능, 화장실 남녀 구분, 카페 있음, 독립출판물 있음"
KCIBSPO22N000000220,평화와 평화,독립서점,북카페,55038,전라북도 전주시 완산구 전라감영4길 16-7 3층,35.81705369,127.1448856,13:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,휴무일 인스타로공지,050713249340,"웨딩거리 책,술과 문화를 다루는 공간","주차 가능, 화장실 남녀 구분, 리뷰 있음"
KCIBSPO22N000000221,서점 카프카,독립서점,문학,55043,전라북도 전주시 완산구 풍남문4길 32 2층 카프카,35.81512548,127.145308,12:00,21:00,,,12:00,21:00,,,,050713157853,문학책 위주의 북카페 독립서점,"독립출판물 있음, 리뷰 있음"
KCIBSPO22N000000222,라바북스,독립서점,일반,63611,제주특별자치도 서귀포시 남원읍 태위로 87 1층,33.27443607,126.6568159,12:00,18:00,12:00,18:00,12:00,18:00,,,수요일 휴무,050714770444,소소한 제주소품들과 주인장 취향의 책들을 만날 수 있는 작은 책방,"화장실 남녀 구분, 카페 있음, 독립출판물 있음, 북토크 가능, 독서모임 가능, 리뷰 있음"
KCIBSPO22N000000223,어나더페이지,독립서점,일반,63508,제주특별자치도 서귀포시 대정읍 동일하모로220번길 19,33.22399269,126.2547954,10:00,19:00,10:00,19:00,10:00,18:30,,,목요일 휴무,050713344276,작고 조용한 동네 책방,"독립출판물 있음, 북토크 가능, 독서모임 가능, 리뷰 있음"
KCIBSPO22N000000224,시옷서점,독립서점,문학,63569,제주특별자치도 서귀포시 막동산로 19,33.25637191,126.5239412,14:00,17:00,,,,,,,"토요일, 일요일 휴무",050714082592,제주도에 있는 시집 전문 서점,"주차 가능, 독립출판물 있음, 리뷰 있음"
KCIBSPO22N000000225,책방무사,독립서점,일반,63630,제주특별자치도 서귀포시 성산읍 수시로10번길 3,33.44612526,126.8866205,12:00,18:00,12:00,18:00,12:00,18:00,,,수요일 휴무,01065846571,"조용한 공간에 서적과 굿즈,디퓨저등 소품도 판매",
KCIBSPO22N000000226,사계리 서점,독립서점,문학,63528,제주 서귀포시 안덕면 사계로114번길 54-58 1층,33.24026669,126.3003237,11:00,17:30,11:00,17:30,11:00,17:30,,,월요일 정기휴무,07076552118,"추리소설, SF 소설 등의 장르 소설류만 구비'",리뷰 있음
KCIBSPO22N000000227,북살롱이마고 제주아카이브센터,독립서점,일반,63625,제주특별자치도 서귀포시 표선면 세화강왓로 78,33.32504828,126.7952514,11:00,18:00,11:00,18:00,11:00,18:00,,,수요일 휴무,0647873282,"인문서,여행서,디자인,예술서,생태관련책, 등 카페와 북스테이 함께 운영하는 복합문화공간","화장실 남녀 구분, 카페 있음, 공간대여 가능, 독립출판물 있음, 독서모임 가능, 강연 가능, 리뷰 있음"
KCIBSPO22N000000228,그건그렇고,독립서점,북스테이,63534,제주 서귀포시 상예로 224,33.26519,126.39389,12:00,19:00,12:00,19:00,12:00,19:00,,,"수요일, 목요일 휴무",050713118780,서귀포 중문 작은 책방,
KCIBSPO22N000000229,아무튼책방,독립서점,인문서적,63246,제주특별자치도 제주시 간월동로 12 1층,33.48539019,126.5438509,13:00,18:00,13:00,18:00,,,,,"일요일, 월요일 정기휴무",0647222654,인문학 + 블라인드 북 + 헌책 + 독립출판물 판매 간드락 게스트 하우스랑 같이 운영하는 책방,"주차 가능, 화장실 남녀 구분, 독립출판물 있음, 독서모임 가능, 강연 가능, 리뷰 있음"
KCIBSPO22N000000230,언제라도,독립서점,일반,63363,제주특별자치도 제주시 구좌읍 문주란로5길 34-2,33.52044691,126.8875548,13:00,16:00,13:00,16:00,13:00,16:00,,,"월요일,화요일,수요일, 목요일 휴무",050714121087,직접 제작한 독립출판물 및 타 작가들의 작품도 볼 수 있는 시골집책방,리뷰 있음
KCIBSPO22N000000231,삼춘책방,독립서점,문학,63362,제주특별자치도 제주시 구좌읍 상하도길 46-12,33.51688343,126.8665531,10:00,22:00,,,,,,,휴무 인스타로 공지,01035916896,"소설과 에세이,그림책과 시집, 독립출판물,잡지,엽서 판매하는 조그마한 동네책방","주차 가능, 화장실 남녀 구분, 독립출판물 있음, 독서모임 가능, 강연 가능, 리뷰 있음"
KCIBSPO22N000000232,제주풀무질,독립서점,인문서적,63361,제주특별자치도 제주시 구좌읍 세화11길 8,33.52156634,126.8609766,11:00,18:00,11:00,18:00,11:00,18:00,,,수요일 휴무,0647826917,"인문학 고전, 문학 일반, 독립출판물을 주로 취급,개인 작가님들이 다품종 소량생산하는 수공예품도 전시, 판매","주차 가능, 화장실 남녀 구분, 리뷰 있음"
KCIBSPO22N000000233,독립서점북덕북덕,독립서점,일반,63355,제주특별자치도 제주시 구좌읍 송당6길 38-1 제2동,33.46827691,126.7837806,12:00,18:00,12:00,18:00,12:00,18:00,,,,01062543040,"입장료1만원,사전예약제, 음료서비스 선택1,무료제공 간식서비스","화장실 남녀 구분, 독립출판물 있음, 리뷰 있음"
KCIBSPO22N000000234,소심한책방,독립서점,일반,63364,제주특별자치도 제주시 구좌읍 종달동길 29-6,33.49147657,126.9030648,10:00,18:00,10:00,18:00,10:00,18:00,,,휴무 인스타로 공지,07081470848,"소설, 에세이, 인문, 여행, 독립출판물, 제주 문구 등 편애로 채워진 책과 소품","독립출판물 있음, 리뷰 있음"
KCIBSPO22N000000235,웃한책방,독립서점,일반,63364,제주특별자치도 제주시 구좌읍 종달로1길 38-24,33.4950433,126.8999225,,,,,,,,,,,"뜬금없는 만화,책방,소품","독립출판물 있음, 리뷰 있음"
