FCLTY_NM,RDNMADR_NM,CTPRVN_CD,SIGNGU_CD,FCLTY_LO,FCLTY_LA,AREA_NM,NEARBY_PBTRNSP_NM,PARKNG_POSBL_AT,BASE_DE
판지수산물구이단지,울산광역시 북구 정자동,31,31200,129.442777,35.615463,울산,강동해수탕앞,유,20211231
목살골목,울산광역시 중구 교동,31,31710,129.316171,35.562511,울산,목살골목입구,유,20211231
병영막창거리,울산광역시 중구 남외동,31,31710,129.346492,35.567052,울산,선우시장,유,20211231
성남동호프골목,울산광역시 중구 성남동,31,31710,129.317515,35.553005,울산,성남동,,20211231
태화십리대밭먹거리단지,울산광역시 중구 태화로 38,31,31710,129.280238,35.554443,울산,삼호교,유,20211231
더리미장어구이마을,인천광역시 강화군 선원면 신정리,28,28710,126.50542,37.725835,인천,더리미경로당,유,20211231
강화창후리황복마을,인천광역시 강화군 하점면 창후리,28,28710,126.368234,37.766775,인천,창후리종점,,20211231
선수포구밴댕이마을,인천광역시 강화군 화도면 해안남로2903번길 56,28,28710,126.392041,37.64049,인천,후포항입구,유,20211231
계양맛길,인천광역시 계양구 계산동,28,28245,126.723024,37.542868,인천,계양구청,유,20211231
용종음식문화시범거리,인천광역시 계양구 용종동,28,28245,126.744796,37.540803,인천,임학역,유,20211231
구월동문예길음식거리,인천광역시 남동구 구월동,28,28200,126.711121,37.448725,인천,예술회관역,유,20211231
인천곱창골목,인천광역시 남동구 구월동,28,28200,126.711121,37.448725,인천,모래내시장역,유,20211231
서창먹거리타운,인천광역시 남동구 서창동,28,28200,126.749466,37.431126,인천,서창이편한세상정문,유,20211231
트인먹거리타운,인천광역시 남동구 앵고개로 675-2,28,28200,126.712752,37.389806,인천,희경산업,유,20211231
연락골추어마을,인천광역시 남동구 운연동,28,28200,126.764276,37.439544,인천,연락골,,20211231
수현마을전통음식마을,인천광역시 남동구 장수동,28,28200,126.76102,37.458837,인천,수현마을,유,20211231
송현동순대골목,인천광역시 동구 송현동,28,28140,126.640368,37.486541,인천,동인천역,유,20211231
송현동순대거리,인천광역시 동구 송현동,28,28140,126.640368,37.486541,인천,동인천역,유,20211231
물텀벙특화음식거리,인천광역시 미추홀구 용현동,28,28170,126.64724,37.451516,인천,용현사거리,유,20211231
법조타운먹거리촌,인천광역시 미추홀구 학익동,28,28170,126.654746,37.439483,인천,법원검찰청입구,,20211231
굴포먹거리타운,인천광역시 부평구 갈산동,28,28237,126.726499,37.515514,인천,부평구청역,,20211231
부평해물탕거리,인천광역시 부평구 부평동,28,28237,126.723031,37.489374,인천,부평역,유,20211231
효실천거리,인천광역시 부평구 부평동,28,28237,126.723031,37.489374,인천,굴포천역,유,20211231
숲예찬,인천광역시 서구 심곡동,28,28260,126.67998,37.541529,인천,십정고개,,20211231
검단먹거리타운,인천광역시 서구 왕길동,28,28260,126.650715,37.591294,인천,검단사거리역,유,20211231
선학동먹자골목,인천광역시 연수구 선학동,28,28185,126.69755,37.429682,인천,선학역,유,20211231
연수동맛고을길,인천광역시 연수구 연수동,28,28185,126.683296,37.420414,인천,동아금호아파트,유,20211231
송도꽃게거리,인천광역시 연수구 옥련동,28,28185,126.64842,37.424247,인천,송도유원지(도로교통공단),유,20211231
북성동원조자장면거리,인천광역시 중구 북성동2가,28,28110,126.618309,37.476653,인천,인천역,,20211231
동인천삼치거리,인천광역시 중구 우현로67번길 57,28,28110,126.628693,37.475711,인천,동인천역,유,20211231
