ESNTL_ID,LCLAS_NM,MLSFC_NM,FCLTY_NM,CTPRVN_NM,SIGNGU_NM,FCLTY_ROAD_NM_ADDR,TEL_NO,FCLTY_LA,FCLTY_LO,ADIT_DC
KCOWRPO22N000012533,무장애장소,무장애장소,가람신작,충청북도,청주시 상당구,충청북도 청주시 상당구 대성로122번길 27-2(수동),,36.636594,127.4939234,
KCOWRPO22N000012534,무장애장소,무장애장소,운정행복센터공연장,경기도,파주시,경기도 파주시 와석순환로 415(와동동),,37.724031,126.751593,
KCOWRPO22N000012535,무장애장소,무장애장소,인생극장낭만실버관,부산광역시,중구,부산광역시 중구 중구로 71(대청동4가),,35.1043685,129.0285918,
KCOWRPO22N000012536,무장애장소,무장애장소,메가박스,경기도,용인시 기흥구,경기도 용인시 기흥구 신고매로 59(고매동),,37.2234152,127.1142482,
KCOWRPO22N000012537,무장애장소,무장애장소,극장칸테움,서울특별시,구로구,서울특별시 구로구 디지털로32가길 25(구로동),,37.4821489,126.898931,
KCOWRPO22N000012538,무장애장소,무장애장소,은평문화예술회관공연장,서울특별시,은평구,서울특별시 은평구 녹번로 16(녹번동),,37.6036997,126.9279016,
KCOWRPO22N000012539,무장애장소,무장애장소,함평엑스포자동차극장,전라남도,함평군,전라남도 함평군 함평읍 함장로 1160,,35.0581375,126.5225969,
KCOWRPO22N000012540,무장애장소,무장애장소,오산문화원,경기도,오산시,경기도 오산시 성호대로 89(오산동),,37.1492434,127.0714265,
KCOWRPO22N000012541,무장애장소,무장애장소,석촌호수아뜰리에,서울특별시,송파구,서울특별시 송파구 삼학사로 136(잠실동),,37.5067935,127.0982625,
KCOWRPO22N000012542,무장애장소,무장애장소,메가박스,대전광역시,유성구,대전광역시 유성구 대덕대로 516(도룡동),,36.3754616,127.3801683,
KCOWRPO22N000012543,무장애장소,무장애장소,장생포문화창고,울산광역시,남구,울산광역시 남구 장생포고래로 110(장생포동),,35.5034329,129.3672933,
KCOWRPO22N000012544,무장애장소,무장애장소,행복전남진도문화지소,전라남도,진도군,전라남도 진도군 진도읍 동외1길 6-9,,34.4807716,126.2700115,
