ESNTL_ID,FCLTY_NM,LCLAS_NM,MLSFC_NM,ZIP_NO,FCLTY_ROAD_NM_ADDR,FCLTY_LA,FCLTY_LO,WORKDAY_OPN_BSNS_TIME,WORKDAY_CLOS_TIME,SAT_OPN_BSNS_TIME,SAT_CLOS_TIME,SUN_OPN_BSNS_TIME,SUN_CLOS_TIME,RSTDE_OPN_BSNS_TIME,RSTDE_CLOS_TIME,RSTDE_GUID_CN,TEL_NO,OPTN_DC,ADIT_DC
KCCBSPO22N000000025,북까페버드힐,북카페,북카페,26455,강원도 원주시 고문골길 104-14,37.33750406,128.0083457,11:00,20:00,11:00,20:00,11:00,20:00,,,월요일 휴무,0337653939,치악산 경치가 아름다운 곳에서 에니어그램전문가가 교육도 가능,"주차 : 가능, 카페 : 있음"
KCCBSPO22N000000026,카페틔움,북카페,북카페,26412,강원도 원주시 남산로 209,37.35471171,127.9420844,10:00,19:00,10:00,19:00,,,,,"일요일, 월요일",0337435564,"청소년들의 길잡이별, 동네 사랑방 공간, 책과 커피가 있는 힐링공간",카페 : 있음
KCCBSPO22N000000027,망스의북다방,만화방,만화책,26392,강원도 원주시 능라동길 48,37.33436489,127.92995,11:00,24:00:00,11:00,1:00,11:00,1:00,,,,0337487773,"편하ㅔ 만화책 볼 수 있는 공간, 즐겁게 데이트 할 수 있는 공간","주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음"
KCCBSPO22N000000028,코이노니아,북카페,북카페,26471,강원도 원주시 라옹정길 3-13,37.31820852,127.9639814,9:30,21:30,9:30,21:30,,,,,일요일,01093058294,음료와 책을 즐길 수 있는 북카페,카페 : 있음
KCCBSPO22N000000029,달빛마루,북카페,북카페,26310,강원도 원주시 소초면 상황골길 19,37.36678995,128.0041205,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,,01041217024,독서활동장소,카페 : 있음
KCCBSPO22N000000030,긴뿔달린토끼,북카페,북카페,26388,강원도 원주시 시청로 82 2층 202호,37.33660616,127.9277184,11:00,19:00,11:00,19:00,,,,,"일요일 휴무, 공휴일 휴무",0337438603,그림책과 무료동화구연 및 책관련 프로그램 운영하는 북카페,"화장실 남녀구분 : 구분, 카페 : 있음, 북토크 : 가능"
KCCBSPO22N000000031,북소리,일반서점,북카페,26340,강원도 원주시 우산초교길 74,37.36820011,127.9343837,,,,,,,,,,0337480454,,카페 : 있음
KCCBSPO22N000000032,소소북카페,북카페,북카페,26431,강원도 원주시 일산로 81-2,37.34648225,127.9518715,,,,,,,,,,,,카페 : 있음
KCCBSPO22N000000033,느림의 미학,북카페,북카페,26483,강원도 원주시 천매봉길 126-12 1층 느림의 미학,37.32548528,127.9436372,12:00,18:00,,,,,,,,0337621217,독서활동장소,카페 : 있음
KCCBSPO22N000000034,동네책방 스몰굿씽,북카페,북카페,26399,강원도 원주시 판부면 매봉길 52-1,37.32051966,127.9454534,10:00,21:00,10:00,21:00,10:00,21:00,,,화요일 휴무,07088817601,"별 것 아닌 것 같지만, 도움이 되는 동네책방카페, 독립출판물, 추천서적, 중고서적 판매",카페 : 있음
KCCBSPO22N000000035,터득골북샵,북카페,북카페,26492,강원도 원주시 흥업면 대안로 511-42,37.26799924,127.8723193,11:00,19:00,11:00,19:00,11:00,19:00,,,월요일,0337627140,브런치와 카페를 함께 즐길 수 있는 북카페,카페 : 있음
KCCBSPO22N000000036,나무와새,카페,북카페,26494,강원도 원주시 흥업면 북원로 1507-2,37.28527279,127.9122706,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,연중 무휴,0337489559,"다양한 분야의 책과 커피가 있는 북카페, 연세대 원주캠퍼스 부근의 2층 건물",카페 : 있음
KCCBSPO22N000000037,책방 나무야,일반서점,일반,24634,강원도 인제군 인제읍 비봉로44번길 14,38.06516378,128.1733877,9:00,21:00,9:00,21:00,,,,,일요일,07088887779,"작은 도서관 운영자가 만든 큐레이션 책방, 카페","주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음"
KCCBSPO22N000000038,북 카페 레일,카페,북카페,26105,강원도 정선군 여량면 달뜬골길 26,37.47583297,128.7287036,,,,,,,,,,,펜션 내 카페,카페 : 있음
KCCBSPO22N000000039,예부룩,장소대여,북카페,24387,강원도 춘천시 공지로 153,37.85937438,127.7449525,13:00,24:00:00,13:00,24:00:00,13:00,24:00:00,13:00,24:00:00,,0332645525,설명이 필요없는 상문아저씨의 카페!,"카페 : 있음, 공간대여 : 가능"
KCCBSPO22N000000040,남이아일랜드북까페,북카페,북카페,24464,강원도 춘천시 남산면 남이섬길 1,37.78903622,127.5264549,,,,,,,,,,0315808098,독서활동장소,카페 : 있음
KCCBSPO22N000000041,있는그대로,일반서점,인문서적,24405,강원도 춘천시 동내면 거두택지길14번길 18 1층,37.85153193,127.7539582,12:00,22:00,12:00,22:00,12:00,22:00,,,화요일,01063462341,큐레이션 책방,카페 : 있음
KCCBSPO22N000000042,굿라이프,북카페,북카페,24339,강원도 춘천시 미려골길25번길 12,37.8714966,127.7357331,12:00,22:00,12:00,22:00,12:00,19:00,,,,0332438086,굿라이프는 책이 더 나은 세상을 만든다는 믿음으로 운영하는 곳,카페 : 있음
KCCBSPO22N000000043,큐플레이스,북카페,북카페,24262,강원도 춘천시 삭주로 44,37.88225195,127.7360673,11:00,24:00:00,11:00,24:00:00,11:00,24:00:00,11:00,24:00:00,,0332567969,독서활동장소,카페 : 있음
KCCBSPO22N000000044,살롱 드 노마드 춘천,북카페,북카페,24261,강원도 춘천시 서부대성로 87,37.88144578,127.7324194,10:00,22:00,,,,,평일 10:00~22:00,,,0332518900,"살롱 드 노마드는 따로 또 함께 마시고, 읽고, 수다하는 카페",카페 : 있음
KCCBSPO22N000000045,느린거북이,북카페,북카페,24289,강원도 춘천시 서부대성로239번길 19,37.8742154,127.7455658,12:30,23:00,12:30,23:00,,,,,일요일 휴무,0332565946,"어른이들을 위한 동화와 개성있는 독립출판물이 있음, 수제과일청으로 만드는 에이드와 생과일쥬스 판매",카페 : 있음
KCCBSPO22N000000046,북카페 꿈순이,차,북카페,24256,강원도 춘천시 성심로47번길 46,37.88128191,127.7449176,7:30,19:00,,,7:30,19:00,,,토요일 휴무,0339126188,독서활동장소,"화장실 남녀구분 : 구분, 카페 : 있음"
KCCBSPO22N000000047,북카페 시립도서관점,북카페,북카페,24327,강원도 춘천시 우석로 102 시립도서관,37.86386237,127.7573288,,,,,,,,,,,독서활동장소,카페 : 있음
KCCBSPO22N000000048,책방마실,독립서점,북카페,24259,강원도 춘천시 전원길 27-1,37.87837259,127.7379276,12:00,22:00,12:00,22:00,12:00,19:00,,,,01099483205,춘천에 위치한 작은 서점,"카페 : 있음, 독립출판물 : 있음"
KCCBSPO22N000000049,데미안책방,일반서점,일반,24364,강원도 춘천시 춘천로17번길 37,37.86769244,127.7179612,10:00,21:00,10:00,21:00,10:00,21:00,,,,0332524341,강원 최대 규모의 책방,"주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음"
KCCBSPO22N000000050,북카페 창,북카페,북카페,24414,강원도 춘천시 퇴계농공로 10,37.85239896,127.7440427,,,,,,,,,,,,카페 : 있음
KCCBSPO22N000000051,서툰책방,독립서점,인문서적,24264,강원도 춘천시 향교옆길13번길 22,37.88283761,127.7327685,11:00,19:00,11:00,19:00,,,,,일요일,07077217276,큐레이션 책방,"주차 : 가능, 카페 : 있음, 독립출판물 : 있음, 독서모임 : 가능"
KCCBSPO22N000000052,막장책방,일반서점,일반,26047,강원도 태백시 하장성1길 4,37.10365746,129.0221574,,,,,,,,,,,,카페 : 있음
KCCBSPO22N000000053,영애네북카페,북카페,북카페,25352,강원도 평창군 대관령면 올림픽로 715 타워콘도 2층,37.65126647,128.6848273,9:00,19:00,9:00,19:00,9:00,19:00,,,월요일 휴무,01058378550,독서활동장소,카페 : 있음
KCCBSPO22N000000054,안단테 북펜션&카페,펜션,북카페,25366,강원도 평창군 방림면 칡사리길 167,37.4303662,128.2668884,,,,,,,,,,01088714029,"펜션 내 카페, 방문 시 숙박 손님에게 음료 무료 제공, 손수 준비한 무료 조식 제공",카페 : 있음
KCCBSPO22N000000055,세수작,북카페,북카페,25306,강원도 평창군 봉평면 태기로 93 북카페 세수작,37.58771726,128.3216324,10:30,20:30,10:30,20:30,10:30,20:30,10:30,20:30,,01051213037,"스키슬로프가 눈 앞에 펼쳐져 있는 멋진 장소, 세 사람의 손으로, 마음으로 정성스럽게 다듬은 책과 커피가 있음","주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음"
KCCBSPO22N000000056,휴여가북카페,북카페,북카페,25268,강원도 횡성군 안흥면 영동고속도로 154,37.46353268,128.1359127,,,,,,,,,,,독서활동장소,카페 : 있음
KCCBSPO22N000000057,라북,일반서점,북카페,25223,강원도 횡성군 횡성읍 북천로 4,37.49400886,127.9907864,,,,,,,,,,,독서활동장소,카페 : 있음
